Dataset	Seed	MCC	Accuracy	Recall	Specificity	Precision	F1
acpdl_tyagi	21	0.522885685664628	0.7983050847457627	0.6046783625730996	0.8892307692307693	0.7270383538030597	0.6576574242750713
acpdl_tyagi	22	0.5269956485448576	0.8000876680303917	0.6105263157894738	0.8893589743589743	0.726996336996337	0.6618609413462355
acpdl_tyagi	23	0.5043644011931917	0.7915546464056107	0.5839181286549708	0.8894230769230769	0.7185259103641457	0.641997136586795
acpdl_tyagi	24	0.5318662205037412	0.8017825832846288	0.6102339181286551	0.8917948717948718	0.7347517549529934	0.6631519137441438
acpdl_tyagi	25	0.5134000528318806	0.7949444769140853	0.6002923976608188	0.8868589743589744	0.7164705882352942	0.651014728472034
acpdl_tyagi	26	0.5268073177622742	0.8000584453535943	0.604970760233918	0.8918589743589743	0.7318674136321196	0.6599261656922948
acpdl_tyagi	27	0.5197456367221889	0.7966393921683227	0.6105263157894738	0.8842948717948718	0.7180463885959243	0.6574736361849365
acpdl_tyagi	28	0.5285349432550158	0.8000876680303914	0.6108187134502925	0.8892948717948718	0.7301616031027797	0.6624715364614746
acpdl_tyagi	29	0.5187086900211931	0.79833430742256	0.5839181286549708	0.899423076923077	0.735952380952381	0.6492528873719576
deepacppred_acp240	0	0.5933204529195752	0.794444453716278	0.8143526554107666	0.7767734527587891	0.8127147912979126	0.8101033314389093
deepacppred_acp240	1	0.5679074040897516	0.785277783870697	0.8048025131225586	0.7607756733894349	0.8078505873680115	0.8012141056354695
deepacppred_acp240	2	0.5879530981384046	0.790833342075348	0.7890944600105285	0.810409665107727	0.8295324802398681	0.8022863410663907
deepacppred_acp240	3	0.5267720747921281	0.7641666769981384	0.7831700205802917	0.7450241088867188	0.7883418440818787	0.7835484720172197
deepacppred_acp240	4	0.6570097012710501	0.8305555701255798	0.8431416153907776	0.8077999353408813	0.8487794280052186	0.8442009569605625
deepacppred_acp240	5	0.6506097951753147	0.8211111187934875	0.8502507090568543	0.7927714586257935	0.8364361524581909	0.8377989582011779
deepacppred_acp240	6	0.5713900016259303	0.7827777862548828	0.816275131702423	0.7456142187118531	0.8009602427482605	0.8023241794689888
deepacppred_acp240	7	0.6134113815049896	0.8130555510520935	0.833359956741333	0.7736907482147217	0.8249831795692444	0.8283000876117571
deepacppred_acp240	8	0.6022346321075941	0.7991666793823242	0.8199367046356201	0.7892910957336425	0.8127803206443787	0.8117011279920767
deepacppred_acp240	9	0.6042056736392288	0.7975000143051147	0.8525132417678833	0.7422222316265106	0.8097692966461182	0.8229665195038838
deepacppred_acp240	10	0.6906308975777445	0.8466666579246521	0.8681259512901306	0.8246319174766541	0.850516140460968	0.8574179914958787
deepacppred_acp240	11	0.5683465180811778	0.7850000023841858	0.8061135649681092	0.7584848523139953	0.8078380823135376	0.8047723364004213
deepacppred_acp240	12	0.5426986591797742	0.7788888931274414	0.795724880695343	0.7438612937927246	0.7971593499183655	0.7961470293860617
deepacppred_acp240	13	0.5482855913515063	0.7741666674613953	0.8429689407348633	0.699665081501007	0.769606864452362	0.8017448677042788
deepacppred_acp240	14	0.6302422898224483	0.8158333420753479	0.8214444398880005	0.8077915906906128	0.8427757382392883	0.8304943873309538
deepacppred_acp240	15	0.6254816486583676	0.8083333492279052	0.8596826672554017	0.7584170699119568	0.8076967716217041	0.8271611188624259
deepacppred_acp240	16	0.71679689371664	0.8594444394111633	0.8798201680183411	0.8226426243782043	0.8683068871498107	0.8710981324143093
deepacppred_acp240	17	0.5576744521400333	0.7777777791023255	0.7732600808143616	0.7881532192230225	0.8117936611175537	0.7901916995717255
deepacppred_acp240	18	0.6548920507071342	0.8288888931274414	0.8481886863708497	0.7976410031318665	0.8371047854423523	0.8391722027977904
deepacppred_acp240	19	0.6125637464761118	0.811388897895813	0.8323012709617614	0.781433391571045	0.8200501561164856	0.8247196393131997
deepacppred_acp240	20	0.659192138050571	0.8294444441795349	0.8551515221595765	0.8064768791198731	0.8385327696800232	0.8448500857907565
deepacppred_acp240	21	0.6355014113904122	0.8202777862548828	0.8732419729232788	0.7588118076324463	0.8084795951843262	0.838183166172221
deepacppred_acp240	22	0.6033202444774983	0.8005555629730224	0.8385022521018982	0.7596832990646363	0.8074718594551087	0.8196302696649708
deepacppred_acp240	23	0.5958189883794611	0.7997222185134888	0.8137846231460572	0.7892828345298767	0.816195285320282	0.8122447320772348
deepacppred_acp240	24	0.6031149855735554	0.8038888931274414	0.8384523749351501	0.7698941946029663	0.8137699127197265	0.8212876394249371
deepacppred_acp240	25	0.5995859413093271	0.7900000095367432	0.8180597305297852	0.7727249383926391	0.8113066673278808	0.7998098508073955
deepacppred_acp240	26	0.6057595984484567	0.8058333396911621	0.8342007517814636	0.7704215288162232	0.8190916538238525	0.8238028420183664
deepacppred_acp240	27	0.6512690897135659	0.8163888931274415	0.8185907125473022	0.8475614070892334	0.8570836663246155	0.8257328425276604
deepacppred_acp240	28	0.6435259109838316	0.8211111068725586	0.8135693550109864	0.839177668094635	0.8456499457359314	0.8254646862498476
deepacppred_acp240	29	0.6045733083112415	0.8030555605888366	0.8123732209205627	0.7901908040046692	0.8310036540031434	0.8192134607628538
deepacppred_acp740	0	0.7209302511121242	0.8598639369010925	0.8794787406921387	0.8404861927032471	0.8511420249938965	0.8642514897689612
deepacppred_acp740	1	0.7407462572538845	0.8693877577781677	0.8728034377098084	0.8666820764541626	0.8740183472633362	0.8719308616280896
deepacppred_acp740	2	0.7020994032460266	0.8503401398658752	0.8416016221046447	0.8603678584098816	0.8644559383392334	0.8517388839192368
deepacppred_acp740	3	0.695041255156804	0.8435374140739441	0.8385458588600159	0.8573081731796265	0.8599812030792237	0.844904221289096
deepacppred_acp740	4	0.757926790977703	0.8775510191917419	0.9072306513786316	0.8498995661735534	0.8618408203125	0.882707080776254
deepacppred_acp740	5	0.7066906265808085	0.8530612230300904	0.8610985398292541	0.844500744342804	0.8522147059440612	0.855713353112875
deepacppred_acp740	6	0.7509847794591187	0.8761904835700989	0.8706925272941589	0.8791507363319397	0.8837599158287048	0.8770632765032975
deepacppred_acp740	7	0.729787592344082	0.8639455795288086	0.8612429022789001	0.8706789612770081	0.8728091478347778	0.8656704455984388
deepacppred_acp740	8	0.7617179289883763	0.880272114276886	0.9011704206466675	0.8582999110221863	0.8702009439468383	0.8848464936460856
deepacppred_acp740	9	0.7355407754930399	0.8680272102355957	0.8667024850845337	0.869142210483551	0.8732632279396058	0.8698863886942426
deepacppred_acp740	10	0.7280134627344635	0.8625850200653076	0.8501712918281555	0.8724251747131347	0.8804256200790406	0.8624913618916867
deepacppred_acp740	11	0.7115043180856928	0.8557823181152344	0.880378246307373	0.8295177578926086	0.8450424909591675	0.862241989379193
deepacppred_acp740	12	0.7072302362265949	0.8544217705726623	0.8478186011314393	0.8592710971832276	0.8650512933731079	0.8557786073149511
deepacppred_acp740	13	0.7658939669380948	0.8816326379776	0.873156750202179	0.8927124261856079	0.8937696218490601	0.8817387460823314
deepacppred_acp740	14	0.7130695252237922	0.8571428537368775	0.8792289972305298	0.8329235792160035	0.8489660859107971	0.8632247621517394
deepacppred_acp740	15	0.7297501625182724	0.8639455795288086	0.8698849558830262	0.8611642479896545	0.8650075554847717	0.8661689627222848
deepacppred_acp740	16	0.734825467761337	0.8680272221565246	0.8650439500808715	0.8684352517127991	0.8734772205352783	0.8687755155532516
deepacppred_acp740	17	0.7266100141658447	0.8625850439071655	0.8716043710708619	0.8582029342651367	0.8615510582923889	0.8649350665343837
deepacppred_acp740	18	0.7437221599844787	0.8721088409423828	0.8714199304580689	0.8748093605041504	0.8743388295173645	0.8722956766650226
deepacppred_acp740	19	0.7343102852351145	0.8666666507720947	0.8718242168426513	0.8632998108863831	0.8696447253227234	0.8690792006422084
